Node_name	k	Bias	EF	UF	CF	EUF	ECF	UCF	EUCF	NCF	RoF	PMID	BF_as_integer	Chain	Chain_1	Chain_U
B	1	1	True	True	True	True	True	True	True	True	True	21563979	1	True	True	True
M	3	1	True	True	True	True	True	True	True	True	True	21563979	8	False	True	True
C	1	1	True	True	True	True	True	True	True	True	True	21563979	2	True	True	True
Lm	4	5	True	True	True	True	True	True	True	True	True	21563979	7936	False	False	False
P	1	1	True	True	True	True	True	True	True	True	True	21563979	1	True	True	True
A	2	1	True	True	True	True	True	True	True	True	True	21563979	1	True	False	True
L	3	1	True	True	True	True	True	True	True	True	True	21563979	16	True	False	True
Rm	3	5	True	True	True	True	True	True	True	True	True	21563979	213	False	True	True
R	2	1	True	True	True	True	True	True	True	True	True	21563979	8	False	True	True
Am	2	3	True	True	True	True	True	True	True	True	True	21563979	7	False	True	True
Fgf8	3	1	True	True	True	True	True	True	True	True	True	20862356	16	True	False	True
Sp8	2	1	True	True	True	True	True	True	True	True	True	20862356	4	True	True	True
Emx2	4	1	True	True	True	True	True	True	True	True	True	20862356	128	False	True	True
Coup_fti	2	1	True	True	True	True	True	True	True	True	True	20862356	8	False	True	True
Pax6	3	1	True	True	True	True	True	True	True	True	True	20862356	64	False	True	True
ERK1_2	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
ERBB3	4	3	True	True	True	True	True	True	True	True	True	24970389	8352	False	True	True
PDK1	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
MEK1_2	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
PKCa	2	3	True	True	True	True	True	True	True	True	True	24970389	7	False	True	True
PLCg	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
ERBB1	5	7	True	True	True	True	True	True	True	True	True	24970389	1086374080	False	True	True
ERBB2	4	1	True	True	True	True	True	True	True	True	True	24970389	128	False	True	True
AKT	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
mTOR	2	3	True	True	True	True	True	True	True	True	True	24970389	7	False	True	True
p70S6K	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
Ci_rep	6	1	True	True	True	True	True	True	True	True	True	23868318	1	True	False	True
SuFu	1	1	True	True	True	True	True	True	True	True	True	23868318	2	True	True	True
Cos	2	3	True	True	True	True	True	True	True	True	True	23868318	14	True	False	True
Ptc	1	1	True	True	True	True	True	True	True	True	True	23868318	2	True	True	True
Hh	8	1	True	True	True	True	True	True	True	True	True	23868318	1	True	False	True
Ci_act	6	57	True	True	True	True	True	True	True	True	True	23868318	18446742901183475438	False	False	False
Dally	1	1	True	True	True	True	True	True	True	True	True	23868318	1	True	True	True
Dlp	1	1	True	True	True	True	True	True	True	True	True	23868318	1	True	True	True
Fu	1	1	True	True	True	True	True	True	True	True	True	23868318	1	True	True	True
Smo	3	3	True	True	True	True	True	True	True	True	True	23868318	14	True	False	True
Targets	2	1	True	True	True	True	True	True	True	True	True	23868318	2	True	True	True
RPS6	2	3	True	True	True	True	True	True	True	True	True	24970389	7	False	True	True
p70S6K	4	3	True	True	True	True	True	True	True	True	True	24970389	2184	False	True	True
ERBB2	5	3	True	True	True	True	True	True	True	True	True	24970389	536911872	False	True	True
BAX	1	1	True	True	True	True	True	True	True	True	True	24970389	1	True	True	True
CyclinD1	5	31	True	True	True	True	True	True	True	True	True	24970389	2147483647	False	True	True
ERK1_2	3	7	True	True	True	True	True	True	True	True	True	24970389	127	False	True	True
cJUN	2	1	True	True	True	True	True	True	True	True	True	24970389	2	True	True	True
AKT	6	31	True	True	True	True	True	True	True	True	True	24970389	3074457345618258602	False	True	True
RB	3	3	True	True	True	True	True	True	True	True	True	24970389	112	False	True	True
CyclinB1	2	1	True	True	True	True	True	True	True	True	True	24970389	2	True	True	True
p53	4	15	True	True	True	True	True	True	True	True	True	24970389	32767	False	True	True
ERBB3	5	7	True	True	True	True	True	True	True	True	True	24970389	1879109632	False	True	True
PTEN	3	3	True	True	True	True	True	True	True	True	True	24970389	76	False	True	True
ERBB1	6	15	True	True	True	True	True	True	True	True	True	24970389	4665941148055945408	False	True	True
TSC2	5	3	True	True	True	True	True	True	True	True	True	24970389	1879048192	False	True	True
GSKa_b	2	3	True	True	True	True	True	True	True	True	True	24970389	7	False	True	True
PRAS	3	3	True	True	True	True	True	True	True	True	True	24970389	112	False	True	True
p38	2	3	True	True	True	True	True	True	True	True	True	24970389	7	False	True	True
Nfkb	1	1	True	True	True	True	True	True	True	True	True	24970389	1	True	True	True
cRAF	4	7	True	True	True	True	True	True	True	True	True	24970389	10922	False	True	True
FOXO1_3a	2	1	True	True	True	True	True	True	True	True	True	24970389	4	True	True	True
PI3K	1	1	True	True	True	True	True	True	True	True	True	23134720	1	True	True	True
Ras	1	1	True	True	True	True	True	True	True	True	True	23134720	1	True	True	True
PTEN	1	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
ROS	2	1	True	True	True	True	True	True	True	True	True	23134720	4	True	True	True
Mdm2	3	3	True	True	True	True	True	True	True	True	True	23134720	76	False	True	True
p53	2	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
ATM	1	1	True	True	True	True	True	True	True	True	True	23134720	1	True	True	True
Akt	1	1	True	True	True	True	True	True	True	True	True	23134720	1	True	True	True
Bad	1	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
GSK3b	1	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
Nrf2	3	7	True	True	True	True	True	True	True	True	True	23134720	223	False	True	True
PKC	2	1	True	True	True	True	True	True	True	True	True	23134720	4	True	True	True
Keap1	3	3	True	True	True	True	True	True	True	True	True	23134720	112	False	True	True
ARE	4	1	True	True	True	True	True	True	True	True	True	23134720	16384	False	True	True
Bach1	1	1	True	True	True	True	True	True	True	True	True	23134720	2	True	True	True
